選手スラッグ,選手名,読み,プロフィール種別,カテゴリ,年度,使用確認時期,更新日,公開状態,プロ詳細URL,並び順,クラブカテゴリ,番手,メーカー,モデル,ロフト,シャフトメーカー,シャフトモデル,シャフト重量,フレックス,キャリー距離,総距離,クラブ別メモ,主な確認ソース,主な確認ソースURL,ソース確認日,全ソースURL,プロフィール概要
katsumasa-miyamoto,宮本 勝昌,ミヤモト カツマサ,tour_pro,verified_batch,2026,2024年 東建ホームメイトカップ,2026-04-10,true,https://www.mybagpro.jp/pros/katsumasa-miyamoto,1,Driver,,Bridgestone,B2HT Driver,9.5°,Graphite Design,Tour AD VF,70g台,X,,,GDO 2024年東建ホームメイトカップ取材より確認。,宮本勝昌 クラブセッティング 2024年 東建ホームメイトカップ - GDO,https://news.golfdigest.co.jp/players/setting/24/,2026-04-19,https://news.golfdigest.co.jp/players/setting/24/ | https://www.jgto.org/player/2178/profile,2024年東建ホームメイトカップで確認できた宮本勝昌の14本セッティングを掲載しています。
katsumasa-miyamoto,宮本 勝昌,ミヤモト カツマサ,tour_pro,verified_batch,2026,2024年 東建ホームメイトカップ,2026-04-10,true,https://www.mybagpro.jp/pros/katsumasa-miyamoto,2,Fairway Wood,3W,TaylorMade,Qi10 Fairway Wood,15°,Graphite Design,Tour AD CQ,70g台,X,,,GDO記事のQi10フェアウェイウッド(3番15度、5番18度)表記を番手ごとに展開。,宮本勝昌 クラブセッティング 2024年 東建ホームメイトカップ - GDO,https://news.golfdigest.co.jp/players/setting/24/,2026-04-19,https://news.golfdigest.co.jp/players/setting/24/ | https://www.jgto.org/player/2178/profile,2024年東建ホームメイトカップで確認できた宮本勝昌の14本セッティングを掲載しています。
katsumasa-miyamoto,宮本 勝昌,ミヤモト カツマサ,tour_pro,verified_batch,2026,2024年 東建ホームメイトカップ,2026-04-10,true,https://www.mybagpro.jp/pros/katsumasa-miyamoto,3,Fairway Wood,5W,TaylorMade,Qi10 Fairway Wood,18°,Graphite Design,Tour AD CQ,80g台,X,,,GDO記事のQi10フェアウェイウッド(3番15度、5番18度)表記を番手ごとに展開。,宮本勝昌 クラブセッティング 2024年 東建ホームメイトカップ - GDO,https://news.golfdigest.co.jp/players/setting/24/,2026-04-19,https://news.golfdigest.co.jp/players/setting/24/ | https://www.jgto.org/player/2178/profile,2024年東建ホームメイトカップで確認できた宮本勝昌の14本セッティングを掲載しています。
katsumasa-miyamoto,宮本 勝昌,ミヤモト カツマサ,tour_pro,verified_batch,2026,2024年 東建ホームメイトカップ,2026-04-10,true,https://www.mybagpro.jp/pros/katsumasa-miyamoto,4,Utility,3U,Honma,Tour World TW-U Forged,19°,N.S.PRO,Modus3 System3 Tour125,,X,,,GDO 2024年東建ホームメイトカップ取材より確認。,宮本勝昌 クラブセッティング 2024年 東建ホームメイトカップ - GDO,https://news.golfdigest.co.jp/players/setting/24/,2026-04-19,https://news.golfdigest.co.jp/players/setting/24/ | https://www.jgto.org/player/2178/profile,2024年東建ホームメイトカップで確認できた宮本勝昌の14本セッティングを掲載しています。
katsumasa-miyamoto,宮本 勝昌,ミヤモト カツマサ,tour_pro,verified_batch,2026,2024年 東建ホームメイトカップ,2026-04-10,true,https://www.mybagpro.jp/pros/katsumasa-miyamoto,5,Iron,4I,Bridgestone,222CB+ Iron,,N.S.PRO,Modus3 System3 Tour125,,X,,,GDO記事の222CB+アイアン(4番-PW)表記を番手ごとに展開。,宮本勝昌 クラブセッティング 2024年 東建ホームメイトカップ - GDO,https://news.golfdigest.co.jp/players/setting/24/,2026-04-19,https://news.golfdigest.co.jp/players/setting/24/ | https://www.jgto.org/player/2178/profile,2024年東建ホームメイトカップで確認できた宮本勝昌の14本セッティングを掲載しています。
katsumasa-miyamoto,宮本 勝昌,ミヤモト カツマサ,tour_pro,verified_batch,2026,2024年 東建ホームメイトカップ,2026-04-10,true,https://www.mybagpro.jp/pros/katsumasa-miyamoto,6,Iron,5I,Bridgestone,222CB+ Iron,,N.S.PRO,Modus3 System3 Tour125,,X,,,GDO記事の222CB+アイアン(4番-PW)表記を番手ごとに展開。,宮本勝昌 クラブセッティング 2024年 東建ホームメイトカップ - GDO,https://news.golfdigest.co.jp/players/setting/24/,2026-04-19,https://news.golfdigest.co.jp/players/setting/24/ | https://www.jgto.org/player/2178/profile,2024年東建ホームメイトカップで確認できた宮本勝昌の14本セッティングを掲載しています。
katsumasa-miyamoto,宮本 勝昌,ミヤモト カツマサ,tour_pro,verified_batch,2026,2024年 東建ホームメイトカップ,2026-04-10,true,https://www.mybagpro.jp/pros/katsumasa-miyamoto,7,Iron,6I,Bridgestone,222CB+ Iron,,N.S.PRO,Modus3 System3 Tour125,,X,,,GDO記事の222CB+アイアン(4番-PW)表記を番手ごとに展開。,宮本勝昌 クラブセッティング 2024年 東建ホームメイトカップ - GDO,https://news.golfdigest.co.jp/players/setting/24/,2026-04-19,https://news.golfdigest.co.jp/players/setting/24/ | https://www.jgto.org/player/2178/profile,2024年東建ホームメイトカップで確認できた宮本勝昌の14本セッティングを掲載しています。
katsumasa-miyamoto,宮本 勝昌,ミヤモト カツマサ,tour_pro,verified_batch,2026,2024年 東建ホームメイトカップ,2026-04-10,true,https://www.mybagpro.jp/pros/katsumasa-miyamoto,8,Iron,7I,Bridgestone,222CB+ Iron,,N.S.PRO,Modus3 System3 Tour125,,X,,,GDO記事の222CB+アイアン(4番-PW)表記を番手ごとに展開。,宮本勝昌 クラブセッティング 2024年 東建ホームメイトカップ - GDO,https://news.golfdigest.co.jp/players/setting/24/,2026-04-19,https://news.golfdigest.co.jp/players/setting/24/ | https://www.jgto.org/player/2178/profile,2024年東建ホームメイトカップで確認できた宮本勝昌の14本セッティングを掲載しています。
katsumasa-miyamoto,宮本 勝昌,ミヤモト カツマサ,tour_pro,verified_batch,2026,2024年 東建ホームメイトカップ,2026-04-10,true,https://www.mybagpro.jp/pros/katsumasa-miyamoto,9,Iron,8I,Bridgestone,222CB+ Iron,,N.S.PRO,Modus3 System3 Tour125,,X,,,GDO記事の222CB+アイアン(4番-PW)表記を番手ごとに展開。,宮本勝昌 クラブセッティング 2024年 東建ホームメイトカップ - GDO,https://news.golfdigest.co.jp/players/setting/24/,2026-04-19,https://news.golfdigest.co.jp/players/setting/24/ | https://www.jgto.org/player/2178/profile,2024年東建ホームメイトカップで確認できた宮本勝昌の14本セッティングを掲載しています。
katsumasa-miyamoto,宮本 勝昌,ミヤモト カツマサ,tour_pro,verified_batch,2026,2024年 東建ホームメイトカップ,2026-04-10,true,https://www.mybagpro.jp/pros/katsumasa-miyamoto,10,Iron,9I,Bridgestone,222CB+ Iron,,N.S.PRO,Modus3 System3 Tour125,,X,,,GDO記事の222CB+アイアン(4番-PW)表記を番手ごとに展開。,宮本勝昌 クラブセッティング 2024年 東建ホームメイトカップ - GDO,https://news.golfdigest.co.jp/players/setting/24/,2026-04-19,https://news.golfdigest.co.jp/players/setting/24/ | https://www.jgto.org/player/2178/profile,2024年東建ホームメイトカップで確認できた宮本勝昌の14本セッティングを掲載しています。
